action_taken,action_taken_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,property_type,property_type_name,purchaser_type,purchaser_type_name,,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,population
1,Loan originated,2,Not Hispanic or Latino,493,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Ulster County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,23342,75200,415,2010,1021,2876
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",61,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),90397,71300,304,2129,1698,6428
1,Loan originated,1,Hispanic or Latino,161,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,1,Hispanic or Latino,5,White,2,Female,Nassau County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,284,109000,31,1709,1593,5466
1,Loan originated,2,Not Hispanic or Latino,99,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10509,71300,350,1184,652,3914
1,Loan originated,2,Not Hispanic or Latino,161,5,White,1,Male,2,Not Hispanic or Latino,5,White,1,Male,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,231,109000,101,1896,1525,4995
1,Loan originated,2,Not Hispanic or Latino,68,5,White,2,Female,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),197608,109000,145,1800,1614,4838
1,Loan originated,2,Not Hispanic or Latino,42,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Albany County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10693,82700,136,3096,2577,6579
1,Loan originated,2,Not Hispanic or Latino,,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,310,71300,270,1085,447,3416
1,Loan originated,2,Not Hispanic or Latino,130,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),156854,71300,448,640,500,1807
1,Loan originated,2,Not Hispanic or Latino,108,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,242,109000,41,1448,1343,4292
1,Loan originated,2,Not Hispanic or Latino,69,3,Black or African American,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),114529,109000,290,1448,1007,4957
1,Loan originated,2,Not Hispanic or Latino,127,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10736,71300,395,2408,1817,6330
1,Loan originated,2,Not Hispanic or Latino,,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,3,Multifamily dwelling,0,Loan was not originated or was not sold in calendar year covered by register,312,71300,525,1538,1274,4475
1,Loan originated,2,Not Hispanic or Latino,164,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),10608,71300,405,1039,739,2575
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",189,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,251,109000,86,1688,1992,6381
1,Loan originated,2,Not Hispanic or Latino,91,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,13,95200,130,1341,1060,3472
1,Loan originated,2,Not Hispanic or Latino,110,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),157167,71300,304,756,791,4630
1,Loan originated,2,Not Hispanic or Latino,,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,2,Not Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,Bronx County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,322,71300,560,1456,971,5838
1,Loan originated,2,Not Hispanic or Latino,145,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10624,71300,376,1240,1084,3320
1,Loan originated,2,Not Hispanic or Latino,255,2,Asian,1,Male,2,Not Hispanic or Latino,2,Asian,2,Female,Nassau County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,256,109000,28,1320,927,3868
1,Loan originated,2,Not Hispanic or Latino,84,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,19,95200,96,1654,942,4276
1,Loan originated,2,Not Hispanic or Latino,70,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Orange County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),157185,71300,211,1972,1720,5435
1,Loan originated,2,Not Hispanic or Latino,,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,2,Not Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,Bronx County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,323,71300,470,1362,922,3767
1,Loan originated,2,Not Hispanic or Latino,96,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10627,71300,376,1635,1352,4818
1,Loan originated,2,Not Hispanic or Latino,175,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Nassau County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,263,109000,19,2511,2284,7787
1,Loan originated,2,Not Hispanic or Latino,174,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,20,95200,40,1723,1578,4971
1,Loan originated,2,Not Hispanic or Latino,36,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Oswego County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,1,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,351,68500,99,1619,1202,4206
1,Loan originated,2,Not Hispanic or Latino,97,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,326,71300,262,732,503,2224
1,Loan originated,2,Not Hispanic or Latino,203,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Queens County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1104,71300,110,684,458,1706
1,Loan originated,2,Not Hispanic or Latino,149,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,268,109000,30,1783,1664,5167
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",194,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,Dutchess County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,28,95200,48,942,921,2617
1,Loan originated,2,Not Hispanic or Latino,23,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Onondaga County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,323,68500,59,1173,284,3534
1,Loan originated,2,Not Hispanic or Latino,135,5,White,2,Female,1,Hispanic or Latino,5,White,1,Male,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,344,109000,363,1368,1322,4307
1,Loan originated,2,Not Hispanic or Latino,121,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),183687,95200,136,1730,1652,5149
1,Loan originated,2,Not Hispanic or Latino,41,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Oneida County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,37851,63000,31,1779,1433,4037
1,Loan originated,2,Not Hispanic or Latino,121,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,39,95200,15,1486,1346,4635
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",247,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",Westchester County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,2411,71300,672,2044,1904,6358
1,Loan originated,2,Not Hispanic or Latino,67,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,369,109000,240,1728,1501,4285
1,Loan originated,2,Not Hispanic or Latino,,2,Asian,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Rensselaer County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),1923,82700,178,682,500,1680
1,Loan originated,2,Not Hispanic or Latino,,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,2,Not Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,Suffolk County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,303,109000,225,2033,1541,5669
1,Loan originated,2,Not Hispanic or Latino,185,5,White,1,Male,1,Hispanic or Latino,5,White,1,Male,Dutchess County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",64,95200,284,1217,757,2370
1,Loan originated,2,Not Hispanic or Latino,117,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Erie County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),29176,69000,94,2025,1369,4712
1,Loan originated,2,Not Hispanic or Latino,102,5,White,2,Female,1,Hispanic or Latino,5,White,1,Male,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,372,109000,299,1772,1610,5249
1,Loan originated,2,Not Hispanic or Latino,62,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,10672,71300,116,1198,917,4024
1,Loan originated,1,Hispanic or Latino,,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,1,Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,Suffolk County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,321,109000,439,3870,2206,5748
1,Loan originated,2,Not Hispanic or Latino,125,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Orange County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",70,71300,417,2392,2181,6958
1,Loan originated,2,Not Hispanic or Latino,111,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Schenectady County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),11015,82700,376,2414,2077,7442
1,Loan originated,2,Not Hispanic or Latino,183,3,Black or African American,2,Female,2,Not Hispanic or Latino,3,Black or African American,1,Male,Suffolk County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,377,109000,380,1994,1659,5880
1,Loan originated,2,Not Hispanic or Latino,93,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),10674,71300,371,2420,1944,6535
1,Loan originated,2,Not Hispanic or Latino,178,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),327,109000,400,2053,1887,6838
1,Loan originated,4,Not applicable,,7,Not applicable,4,Not applicable,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,12,109000,9000,3692,1022,3141
1,Loan originated,2,Not Hispanic or Latino,60,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),11102,109000,175,1127,1357,4226
1,Loan originated,2,Not Hispanic or Latino,34,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Livingston County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,911,69700,60,2334,1660,5843
1,Loan originated,1,Hispanic or Latino,84,5,White,1,Male,1,Hispanic or Latino,5,White,2,Female,Rockland County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10701,71300,320,1413,1292,4134
1,Loan originated,2,Not Hispanic or Latino,155,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,345,109000,445,1127,1357,4226
1,Loan originated,2,Not Hispanic or Latino,78,5,White,2,Female,2,Not Hispanic or Latino,3,Black or African American,1,Male,Dutchess County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",84,95200,150,884,762,2540
1,Loan originated,2,Not Hispanic or Latino,115,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,11108,71300,512,2477,1969,6573
1,Loan originated,2,Not Hispanic or Latino,105,3,Black or African American,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,392,109000,298,2372,1986,7823
1,Loan originated,2,Not Hispanic or Latino,95,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Albany County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),10708,82700,249,2129,1696,5768
1,Loan originated,2,Not Hispanic or Latino,136,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,366,109000,105,1371,1333,4393
1,Loan originated,2,Not Hispanic or Latino,291,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Ulster County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",96,75200,165,1373,488,1335
1,Loan originated,2,Not Hispanic or Latino,47,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Monroe County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",1116,69700,86,1548,1451,3788
1,Loan originated,2,Not Hispanic or Latino,315,5,White,1,Male,1,Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,Queens County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),212389,71300,176,793,765,2483
1,Loan originated,2,Not Hispanic or Latino,80,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Saratoga County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),10734,82700,197,1633,1348,4271
1,Loan originated,2,Not Hispanic or Latino,143,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,370,109000,310,2361,2208,7174
1,Loan originated,2,Not Hispanic or Latino,453,5,White,2,Female,2,Not Hispanic or Latino,5,White,2,Female,New York County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),197791,71300,414,17,173,4479
1,Loan originated,2,Not Hispanic or Latino,632,5,White,1,Male,2,Not Hispanic or Latino,5,White,1,Male,Onondaga County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,555,68500,189,1648,806,4227
1,Loan originated,2,Not Hispanic or Latino,212,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,398,71300,800,1038,871,3341
1,Loan originated,2,Not Hispanic or Latino,236,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,2,Not Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,New York County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,10769,71300,504,99,215,8196
1,Loan originated,2,Not Hispanic or Latino,346,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Suffolk County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,378,109000,355,3585,1528,4438
1,Loan originated,2,Not Hispanic or Latino,44,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Otsego County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),194939,60000,78,2260,1326,4117
1,Loan originated,2,Not Hispanic or Latino,30,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Broome County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3476,66400,53,1574,963,3449
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",99,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),405,109000,250,2017,1712,8326
1,Loan originated,2,Not Hispanic or Latino,91,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Albany County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),10772,82700,176,1117,931,4358
1,Loan originated,2,Not Hispanic or Latino,139,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),409,109000,332,2062,1422,5556
1,Loan originated,4,Not applicable,,7,Not applicable,4,Not applicable,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,1,Home purchase,1,Conventional,3,Not applicable,3,3,Multifamily dwelling,0,Loan was not originated or was not sold in calendar year covered by register,8405,71300,450,539,129,2152
1,Loan originated,2,Not Hispanic or Latino,60,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Erie County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),11176,69000,80,1541,1589,4888
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",101,5,White,2,Female,3,"Information not provided by applicant in mail, Internet, or telephone application",5,White,1,Male,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,408,109000,290,1107,956,3593
1,Loan originated,2,Not Hispanic or Latino,58,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Cayuga County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,257,60000,98,1701,757,3898
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",97,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),418,109000,265,1748,1437,4950
1,Loan originated,2,Not Hispanic or Latino,113,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Dutchess County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",137,95200,226,1414,867,4129
1,Loan originated,2,Not Hispanic or Latino,185,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),11199,71300,392,959,664,2687
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",180,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,415,109000,341,1735,870,6158
